## 【109 學年度第 1 學期版本】
109.11.2 109 學年度第 1 學期學分學程會議通過
109.12.28 第 166 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 海科院 | 環境教育 | 2 | 環保署環境教育人員認證核心科目100100 |
| 海科院 | 環境教育教材教法 | 2 | 環保署環境教育人員認證核心科目106700 |
| 博雅教育中心 | 環境倫理 | 2 | 環保署環境教育人員認證核心科目 102600 |
| 服務學習教育中心 | 服務學習(三):海洋資源實務應用 | 1 | — |
| 服務學習教育中心 | 服務學習(三):環境教育服務與推廣 | 1 | — |
| 服務學習教育中心 | 服務學習(三):台灣獼猴生態宣導 | 1 | — |
| 服務學習教育中心 | 服務學習(三):史蹟導覽 | 1 | — |
| 服務學習教育中心 | 服務學習(三):國際志工服務課程 | 1 | — |
| 服務學習教育中心 | 服務學習（三）：提升台灣海洋能見度 | 1 | — |
| 服務學習教育中心 | 服務學習（三）：尋找小櫻 | 1 | — |
| 服務學習教育中心 | 服務學習（三）：博物館動物科普推廣服務 | 1 | — |
| 服務學習教育中心 | 服務學習（三）：都市農園 | 1 | — |
| 服務學習教育中心 | 服務學習（三）：美術館與服務學習 | 1 | — |
| 服務學習教育中心 | 服務學習（三）：解密生活物理 | 1 | — |
| 服務學習教育中心 | 服務學習（三）：新住民學童課輔服務 | 1 | — |
| 服務學習教育中心 | 服務學習（三）：弱勢兒少視訊教學服務 | 1 | — |
| 服務學習教育中心 | 服務學習（三）：永續發展與服務體驗 | 1 | 108-1 新增 |
| 服務學習教育中心 | 服務學習（三）：人人都是科學家 | 1 | 109-1 新增 |
| 海科院 | 環境教育實踐推廣 | 2 | — |

> 核心課程學分數： 9 學分

### 選修課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 生科系 | 生物科學研究法 | 3 | — |
| 社會系 | 環境社會學 | 3 | 符合環保署採計課程 103300 |
| 社會碩 | 環境社會學 | 3 | — |
| 社會碩 | 社會學研究方法 | 3 | — |
| 海工系 | 計畫學導論 | 3 | — |
| 海科系 | 電影中的海洋科學 | 2 | — |
| 海事碩 | 海洋事務總論 | 3 | — |
| 教育碩 | 非制式科學教育 | 3 | — |
| 教育博 | 永續發展教育研究 | 3 | — |
| 教育博 | 科學教育研究 | 3 | — |
| 博雅教育中心 | 科學探究的應用 | 2 | — |
| 博雅教育中心 | 環境心理學 | 2 | — |
| 博雅教育中心 | 環境科學 | 2 | 符合環保署採計課程 112200 |
| 博雅教育中心 | 海權與海洋事務 | 2 | — |
| 中學學程 | 課程發展與設計 | 2 | — |
| 校際選課 | 環境教育教學法 | 1 | — |
| 校際選課 | 教育概論 | 2 | — |
| 中學學程 | — | — | — |
| 校際選課 | 衛生教育與健康促進 | 2 | — |
| 應用性課程 | 博物館典藏探究 | 1 | — |
| 博雅教育中心 | 用影像說故事：探索科技、環境與社會 | 2 | 109-1 新增 |
| 博雅教育中心 | 科學的本質 | 2 | 109-1 新增 |
| 公事碩 | 城鄉發展與環境變遷 | 2 | — |
| 光電系 | 太陽能電池導論 | 3 | — |
| 光電系 | 光電替代能源概論 | 3 | — |
| 光電碩 | 太陽能電池技術實作 | 3 | — |
| 光電碩 | 有機太陽能電池 | 3 | — |
| 材光碩 | 太陽能科技 | 3 | 108-1 新增 |
| 海工碩 | 海洋風浪分析與預報 | 2 | — |
| 海科系 | 古海洋學概論 | 3 | 符合環保署採計課程 201700 |
| 海科系 | 海洋微體古生物學 | 2 | — |
| 海科系 | 全球環境變遷概論 | 2 | — |
| 海科系 | 海洋地球科學 | 2 | — |
| 海科系 | 現代海洋學 | 3 | — |
| 海科系 | 氣象學 | 2 | — |
| 海科系 | 海洋系統科學（一） | 2 | — |
| 海科系 | 海洋系統科學（二） | 2 | — |
| 海科碩 | 古氣候學概論 | 3 | 符合環保署採計課程 201000 |
| 海科碩 | 高等古海洋學 | 3 | — |
| 海科碩 | 海洋有機化學 | 3 | — |
| 博雅教育中心 | 科技前沿 | 2 | — |
| 博雅教育中心 | 現今科技與社會 | 2 | — |
| 博雅教育中心 | 環境變遷與生態保育 | 2 | — |
| 博雅教育中心 | 氣候變遷與調適 | 2 | — |
| 博雅教育中心 | 全球環境變遷概論 | 2 | — |
| 博雅教育中心 | 光電生活與能源永續 | 2 | — |
| 校際選課 | 全球變遷生物學 | 3 | — |
| 機電系 | 太陽能工程概論 | 3 | — |
| 機電系 | 綠色能源工程 | 3 | — |
| 機電碩 | 太陽能工程 | 3 | — |
| 環工碩 | 再生能源技術 | 3 | — |
| 海工系 | 土壤力學實驗 | 1 | — |
| 海工系 | 水文學 | 3 | — |
| 環工博 | 地下水文學 | 3 | — |
| 海工系 | 水資源工程 | 3 | 符合環保署採計課程 613000 |
| 海工系 | 海岸工程學 | 3 | — |
| 海工系 | 海岸開發及保育工程 | 3 | — |
| 海工系 | 海洋波浪學 | 3 | — |
| 海工系 | 基礎工程學 | 3 | — |
| 海工系 | 港灣工程(含設計實例) | 3 | — |
