## 【109 學年度第 1 學期版本】
109.11.2 109 學年度第 1 學期學分學程會議通過
109.12.28 第 166 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 文學院 | 跨文化人文思潮與美學導論 | 3 | — |
| 文學院 | 跨文化思想 | 3 | — |
| 中文系 | 影像與文學 | 3 | — |
| 中文系 | 西方文藝理論 | 3 | — |
| 外文系碩士班 | 視覺文化與理論 | 3 | — |
| 外文系碩士班 | 電影研究 | 3 | — |
| 音樂系 | 音樂美學 | 3 | — |
| 劇藝系 | 西洋藝術史 | 3 | — |
| 劇藝系 | 藝術概論 | 3 | — |
| 劇藝系碩士班 | 藝術社會學 | 3 | — |
| 哲學所碩士班 | 藝術與哲學 | 3 | — |
| 哲學所碩士班 | 文化哲學 | 3 | — |

> 核心課程學分數：3 學分

### 選修課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 文學院 | 跨文化生態美學 | 2 | — |
| 文學院 | 語言與歌曲創作 | 3 | — |
| 文學院 | 世界宗教 | 3 | 增加 |
| 文學院 | 文學與文化身分認同 | 3 | — |
| 文學院 | 表演藝術與文化身份認同 | 3 | — |
| 外文系 | 多媒體英文與溝通 | 3 | — |
| 中文系 | 古典戲劇選(一) | 3 | — |
| 中文系 | 古典戲劇選(二) | 3 | — |
| 中文系 | 美學經典導讀 | 2 | — |
| 中文系碩士班 | 中國書法美學 | 3 | — |
| 外文系 | 電影與文學賞析 | 3 | — |
| 外文系 | 英美戲劇(一) | 3 | — |
| 外文系 | 英美戲劇(二) | 3 | — |
| 外文系 | 現代戲劇與劇場(一) | 3 | — |
| 外文系 | 現代戲劇與劇場(二) | 3 | — |
| 外文系 | 莎劇電影與劇場 | 3 | — |
| 外文系 | 百老匯表演與戲劇藝術(一) | 3 | — |
| 外文系 | 百老匯表演與戲劇藝術(二) | 3 | — |
| 外文系 | 當代電影藝術 | 3 | — |
| 外文系 | 歐洲電影 | 3 | — |
| 音樂系碩士班 | 音樂評論與美學 | 3 | — |
| 音樂系 | 管樂合奏(一) | 1 | — |
| 劇藝系 | 創意表演（四） | 2 | — |
| 劇藝系 | 排演（五） | 1 | — |
| 劇藝系 | 西洋戲劇史(一) | 2 | — |
| 劇藝系 | 西洋戲劇史(二) | 2 | — |
| 劇藝系 | 中國戲劇史(一) | 2 | — |
| 劇藝系 | 中國戲劇史(二) | 2 | — |
| 劇藝系 | 風格學 | 2 | — |
| 劇藝系 | 美國當代劇場 | 2 | — |
| 劇藝系 | 中西舞蹈史 | 2 | — |
| 劇藝系 | 西方名劇選讀 | 3 | — |
| 劇藝系 | 東方名劇選讀 | 3 | — |
| 劇藝系 | 臺灣傳統戲曲 | 2 | — |
| 劇藝系 | 電影藝術賞析 | 2 | — |
| 劇藝系碩士班 | 劇場美學 | 3 | — |
| 劇藝系碩士班 | 現代劇場 | 3 | — |
| 哲學所碩士班 | 攝影哲學 | 3 | — |
| 哲學所碩士班 | 電影哲學 | 3 | — |

> 總學分數：至少 9 學分

**備註：**
1. 【微學程】課程規劃至少 9 學分。
2. 【微學程】學生所修習之學程課程中，至少應有 3 學分不屬於學生本系所、雙主修及輔系之課程。
3. 修習學程適用之課程規劃表請依核准修習學年期版本為主。
