## 【110 學年度第 1 學期版本】
110.11.2 110 學年度第 1 學期學分學程會議通過
110.12.28 第 170 次教務會議通過

### 核心課程

| 課程屬性 | 學程課程名稱 | 採認課程名稱 | 開課系所 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 元件開發類 | 半導體元件 | 半導體元件(一) | 電機系 | 3 | — |
| 元件開發類 | 半導體元件 | 半導體元件 | 材光碩 | 3 | — |
| 元件開發類 | 半導體元件 | 半導體奈米元件製造技術 | 物理系 | 3 | — |
| 元件開發類 | 半導體元件 | 半導體奈米元件製造技術 | 光電系 | 3 | — |
| 元件開發類 | 半導體元件 | 半導體奈米元件製造技術 | 跨院選修(理) | 3 | — |
| 元件開發類 | 半導體元件 | 半導體元件導論 | 光電系 | 3 | — |
| 元件開發類 | 半導體元件 | 固態電子元件(一) | 電機碩 | 3 | — |
| 元件開發類 | 固態物理 | 固態物理 | 材光系 | 3 | — |
| 元件開發類 | 固態物理 | 固態物理導論 | 光電系 | 3 | — |
| 元件開發類 | 電路學 | 電路學(一) | 電機系 | 3 | — |
| 元件開發類 | 電路學 | 電路學(一) | 跨院選修(工) | 3 | — |
| 元件開發類 | 電路學 | 電路學 | 機電系 | 3 | — |
| 元件開發類 | 工程數學(二) | 線性代數 | 電機系 | 3 | — |
| 元件開發類 | 工程數學(二) | 線性代數 | 跨院選修(工) | 3 | — |
| 元件開發類 | 工程數學(二) | 工程數學(二) | 材光系 | 3 | — |
| 元件開發類 | 工程數學(二) | 工程數學(二) | 光電系 | 3 | — |
| 元件開發類 | 工程數學(二) | 工程數學(二) | 機電系 | 3 | — |
| 元件開發類 | 工程數學(二) | 應用數學(二) | 物理系 | 3 | — |
| 製程整合類 | 半導體製程 | 半導體製程導論 | 跨院選修(工) | 3 | — |
| 製程整合類 | 半導體製程 | 半導體製程導論 | 機電系 | 3 | — |
| 製程整合類 | 半導體製程 | 積體電路技術 | 電機碩 | 3 | — |
| 製程整合類 | 電磁學(一) | 電磁學(一) | 電機系 | 3 | — |
| 製程整合類 | 電磁學(一) | 電磁學(一) | 光電系 | 3 | — |
| 製程整合類 | 電磁學(一) | 電磁學(一) | 材光系 | 3 | — |
| 製程整合類 | 電磁學(一) | 電磁學 | 物理系 | 3 | — |
| 製程整合類 | 電磁學(一) | 電磁學(一) | 跨院選修(工) | 3 | — |
| 製程整合類 | 電子學(一) | 電子學(一) | 電機系 | 3 | — |
| 製程整合類 | 電子學(一) | 電子學(一) | 光電系 | 3 | — |
| 製程整合類 | 電子學(一) | 電子學(一) | 材光系 | 3 | — |
| 製程整合類 | 電子學(一) | 電子學(一) | 跨院選修(工) | 3 | — |
| 製程整合類 | 應用電子學 | 應用電子學 | 機電系 | 3 | — |
| 製程整合類 | 應用電子學 | 應用電子學 | 跨院選修(工) | 3 | — |
| 製程整合類 | 電子學(二) | 電子學(二) | 電機系 | 3 | — |
| 製程整合類 | 電子學(二) | 電子學(二) | 光電系 | 3 | — |
| 製程整合類 | 電子學(二) | 電子學(二) | 材光系 | 3 | — |
| 製程整合類 | 電子學(二) | 電子學(二) | 跨院選修(工) | 3 | — |
| 製程整合類 | 半導體薄膜技術 | 半導體薄膜技術 | 電機碩 | 3 | — |
| 製程整合類 | 半導體薄膜技術 | 電子材料工程 | 電機系 | 3 | — |
