## 【110 學年度第 1 學期版本】
110.11.2 110 學年度第 1 學期學分學程會議通過 110.12.28 第 170 次教務會議通過

### 核心課程

| 課程屬性 | 學程課程名稱 | 採認課程名稱 | 開課系所 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 半導體元件關鍵學能 | 固態物理導論 | 固態物理導論 | 光電系 | 3 | — |
| 半導體元件關鍵學能 | 固態物理導論 | 固態物理(英) | 材光系 | 3 | — |
| 半導體元件關鍵學能 | 半導體元件物理 | 半導體奈米元件物理 | 物理碩 | 3 | — |
| 半導體元件關鍵學能 | 半導體元件物理 | 半導體元件 | 材光碩 | 3 | — |
| 半導體元件關鍵學能 | 半導體元件物理 | 半導體元件(一) | 電機系 | 3 | — |
| 先進製程技術基礎學能 | 基礎材料科學 | 材料科學導論 | 材光系 | 3 | — |
| 先進製程技術基礎學能 | 基礎材料科學 | 高分子材料導論(英) | 材光系 | 3 | — |
| 先進製程技術基礎學能 | 工程數學一 | 工程數學（一） | 光電系 | 3 | — |
| 先進製程技術基礎學能 | 工程數學一 | 工程數學（一） | 跨院選修(海) | 3 | — |
| 先進製程技術基礎學能 | 工程數學一 | 工程數學（一） | 機電系 | 3 | — |
| 先進製程技術基礎學能 | 工程數學一 | 工程數學（一）(英) | 材光系 | 3 | — |
| 先進製程技術基礎學能 | 工程數學一 | 工程數學（一） | 海工系 | 3 | — |
| 先進製程技術基礎學能 | 工程數學一 | 應用數學（一） | 物理系 | 3 | — |
| 先進製程技術基礎學能 | 半導體製程 | 微電子技術 | 電機系 | 3 | — |
| 先進製程技術基礎學能 | 半導體製程 | 積體電路技術 | 電機碩 | 3 | — |
| 先進製程技術基礎學能 | 半導體製程 | 半導體奈米元件製造技術 | 物理系 | 3 | — |
| 先進製程技術基礎學能 | 半導體製程 | 半導體奈米元件製造技術 | 光電系 | 3 | — |
| 先進製程技術基礎學能 | 半導體製程 | 半導體奈米元件製造技術 | 物理碩 | 3 | — |
| 先進製程技術基礎學能 | 半導體製程 | 半導體製程設備與技術 | 機電碩 | 3 | — |
| 先進製程技術基礎學能 | 材料熱力學 | 材料熱力學 | 材光系 | 3 | — |
| 先進製程技術基礎學能 | 材料熱力學 | 材料科學導論 | 材光系 | 3 | — |
| 先進製程技術基礎學能 | 材料熱力學 | 熱力學 | 機電系 | 3 | — |
| 先進製程技術基礎學能 | 物理冶金 | 物理冶金 | 材光碩 | 3 | — |
| 先進製程技術進階學能 | 材料表面工程 | 冶金熱力學(英) | 材光碩 | 3 | — |
| 先進製程技術進階學能 | 材料表面工程 | 材料表面分析技術 | 光電碩 | 3 | — |
| 先進製程技術進階學能 | 電子顯微鏡 | 電子顯微鏡於軟物質研究之應用(英) | 材光碩 | 3 | — |
| 先進製程技術進階學能 | 電子顯微鏡 | 電子顯微鏡 | 材光碩 | 3 | — |
| 先進製程技術進階學能 | 電子顯微鏡 | 生物掃描式電子顯微鏡 | 生科碩 | 3 | — |
| 先進製程技術進階學能 | 材料分析 | 儀器分析（一） | 化學系 | 3 | — |
| 先進製程技術進階學能 | 材料分析 | 半導體材料測試與分析 | 材光碩 | 3 | — |
| 先進製程技術進階學能 | 材料分析 | 材料光譜分析 | 材光碩 | 3 | — |
