## 【111 學年度第 2 學期版本】
112.4.24 111 學年度第 2 學期學分學程會議通過
112.5.24 第 176 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 公事碩 | 永續發展與綠色管理 | 3 | — |
| 公事碩 | 國際企業永續發展 | 3 | — |
| 公事碩 | 社會行銷 | 2 | — |
| 公事碩 | 社區營造與地區重建 | 2 | — |
| 公事碩 | 公共事務與企業社會責任 | 2 | — |
| 公事碩 | 永續報告書寫作 | 2 | 課名更改，原課名：企業社會責任報告寫作 |
| 公事碩 | 媒體與公共事務 | 2 | — |
| 公事碩 | 地區經營管理 | 2 | — |
| 公事碩 | 永續管理概論 | 2 | 新增 |
| 財管系 | 永續經營分析 | 3 | 新增 |

> 核心課程學分數： 9 學分

### 選修課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 公事碩 | 公共事務與管理 | 3 | — |
| 公事碩 | 非營利組織管理研討 | 2 | — |
| 公事碩 | 國際非營利及社區組織交流 | 2 | — |
| 公事碩 | 性別、組織與管理 | 3 | — |
| 公事碩 | 城鄉發展與環境變遷 | 2 | — |
| 公事碩 | 企業與政府 | 2 | — |
| 公事碩 | 新興公共議題(一) | 2 | — |
| 公事碩 | 企業社會責任專題 | 2 | — |
| 公事碩 | 氣候行動書報討論 | 1 | — |
| 公事碩 | 溫室氣體盤查報告實作 | 2 | 課名更改，原課名：生命週期分析與寫作報告 |
| 公事碩 | 全球公共事務 | 2 | — |
| 博雅向度六 | 氣候變遷與社會創新 | 3 | — |
| 財管系 | 社會企業商業模式發展與實作 | 3 | — |
| 管理學院 | 創新與創業管理 | 3 | — |
| 藝管所 | 節慶活動策劃與經營 | 3 | 課名更改，原課名：節慶活動策畫與經營 |
| 西灣學院 | 環境倫理與環境政策 | 2 | — |
| 西灣學院 | 環境科學 | 2 | — |
| 西灣學院 | 環境變遷與生態保育 | 2 | — |
| 海工系 | 基礎環境科學 | 2 | — |
| 海科系 | 全球環境變遷 | 2 | — |
| 管理學院 | 企業交流與社會責任實踐 | 1 | — |
| 社科院 | ESG 趨勢：在地與全球 | 3 | 新增 |
| 社科院 | 解析 ESG 及其相關應用 | 3 | 新增 |
| 管理學院 | 倫理與社會責任的理論與實務 | 1 | 新增 |
| 管理學院 | 倫理與社會責任 | 1 | 新增 |
| 國際經營學程 | 企業倫理與社會責任 | 3 | 新增 |
| 人管英語碩程 | 企業倫理與社會責任 | 3 | 新增 |
| 博雅向度四 | 用影像說故事：探索科技、環境與社會 | 2 | 新增 |
| 人管碩 | 企業社會責任 | 3 | 新增 |
| 海事碩 | 永續發展 | 3 | 新增 |
| 國際經營學程 | 國際企業永續發展 | 3 | 新增 |
| 人科學程 | 永續工程與管理 | 3 | 新增 |
| 博雅向度六 | 污染防治與環境管理 | 2 | 新增 |
| 管理學院 | 綠色採購 | 1 | 新增 |
| 管理學院 | 永續金融 | 2 | 新增 |
| 博雅向度六 | 氣候變遷與調適 | 3 | 新增 |

> 總學分數：至少 15 學分

**備註：**
1. 【整合學程】課程規劃至少 15 學分。
2. 【整合學程】學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。
3. 修習學程適用之課程規劃表請依核准修習學年期版本為主。
