## 【112 學年度第 2 學期版本】
113.4.22 112 學年度第 2 學期學分學程會議通過
113.5.30 第 180 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 海科系 | 全球環境變遷概論 | 2 | — |
| 公事碩 | 社區營造與地區重建 | 2 | — |
| 公事碩 | 永續發展與綠色管理 | 3 | — |
| 公事碩 | 永續管理概論 | 2 | — |
| 公事碩 | 地區經營管理 | 2 | — |
| 公事碩 | 城鄉發展與環境變遷 | 2 | — |
| 公事碩 | 公共事務專題研究 [主題：國際地方創生實務見學] | 2 | — |
| 公事碩 | 新興公共議題研討 [主題：地方創生與區域治理] | 2 | — |
| 公事碩 | 公共事務研討 | 2 | — |
| 公事碩 | 新興公共議題研討 | 2 | — |
| 公事碩 | 公共事務專題研究(一) | 2 | — |
| 公事碩 | 新興公共議題(一) | 2 | — |
| 公事碩 | 永續報告書寫作 | 2 | — |
| 公事碩 | 溫室氣體盤查報告實作 | 2 | — |
| 財管系 | 永續經營分析 | 3 | — |

> 核心課程學分數：9 學分

### 選修課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 西灣學院 | 污染防治與環境管理 | 2 | — |
| 社科院 | 永續都市環境行為及心理學 | 3 | — |
| 西灣學院 | 環境變遷與生態保育 | 2 | — |
| 公事碩 | 區域發展與政策 | 3 | — |
| 公事碩 | 國際非營利及社區組織交流 | 2 | — |
| 公事碩 | 新興公共議題(一) [主題：企業永續趨勢與作法] | 2 | — |
| 公事碩 | 媒體與公共事務 | 2 | — |
| 公事碩 | 非營利組織管理研討 | 2 | — |
| 公事碩 | 綠色採購與綠色會計 | 2 | — |
| 財管系 | 社會企業商業模式發展與實作 | 3 | — |
| 博雅向度三 | 日本文化概論 | 3 | — |
| 跨院選修(通) | 創業講堂 | 3 | — |
| 西灣學院 | 環境科學 | 2 | — |
| 西灣學院 | 地方創生議題探討 | 3 | — |
| 西灣學院 | 都市農業與永續發展 | 3 | — |
| 西灣學院 | 氣候變遷與永續農業發展 | 3 | — |
| 西灣學院 | 創意城市與社區議題探究 | 3 | — |
| 社會創新所 | 全球與在地永續發展議題探討 | 3 | — |
| 社會系 | 農業與社會 | 3 | — |
| 社科院 | 創業與鄉村發展 | 2 | — |
| 社科院 | 創業與區域發展 | 3 | — |
| 劇藝碩 | 文本與空間敘事 | 3 | — |
| 藝管所 | 節慶活動策劃與經營 | 3 | — |
| 行銷碩 | 行銷傳播策略 | 3 | — |
| 海工系 | 基礎環境科學 | 2 | — |
| 公事碩 | 企業社會責任專題 | 2 | — |
| 公事碩 | 氣候行動書報討論 | 1 | — |
| 社科院 | 智慧治理：危機與創新 | 3 | — |
| 社會創新所 | 地方創生研究與實踐 | 3 | — |
| 社會創新所 | 地方創生研究與實踐（二） | 3 | — |
| 博雅向度一 | 台灣社會與文化 | 3 | — |
| 博雅向度一 | 紀錄片企劃與製作 | 3 | — |
| 博雅向度三 | 都市營造與空間規劃 | 2 | — |
| 博雅向度六 | 在地食物的永續發展與全球脈絡 | 3 | — |
| 博雅向度四 | 科學、媒體與文化 | 2 | — |
| 博雅向度四 | 探尋建築工藝中的高雄故事 | 3 | — |
| 博雅向度四 | 用影像說故事：探索科技、環境與社會 | 2 | — |
| 管理學院 | 綠色採購 | 1 | — |
| 管理學院 | 永續金融 | 2 | — |
| 博雅向度二 | 現代日本社會與宗教 | 3 | — |
| 跨院選修(通) | 台日文化比較研究（一） | 3 | — |
| 跨院選修(通) | 台日文化比較研究（2） | 3 | — |
| 公事碩 | 城市再生：理論與實踐 | 2 | 新增 |

> 總學分數：至少 15 學分

**備註：**
1. 【整合學程】課程規劃至少 15 學分。
2. 【整合學程】學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。
3. 修習學程適用之課程規劃表請依核准修習學年期版本為主。
