## 【113 學年度第 1 學期版本】
113.11.12 113 學年度第 1 學期學分學程會議通過
113.12.12 第 182 次教務會議通過

### 核心課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :---: | :--- |
| 海工碩/風電碩 | 離岸浮式構造物工程導論 | 3 | MAEV575/OWP513 |
| 海工碩/風電碩 | 船舶施工規劃 | 3 | MAEV591/OWP510 |
| 海工碩 | 海域調查與量測 | 3 | MAEV593 |
| 海工碩/風電碩 | 海事工程風險分析及管理 | 3 | MAEV596/OWP509 |
| 海工碩 | 海洋及森林碳匯與碳權概論 | 3 | MAEV5600 |
| 風電碩 | 離岸風電概論 | 3 | OWP501 |
| 風電碩 | 離岸風電運維實務 | 3 | OWP516 |

> 核心課程學分數：必修6學分擇二選修，超出學分可列入總學分數計算。

### 選修課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :---: | :--- |
| 電機系 | 電力電子學 | 3 | EE2403 |
| 電機系 | 電力系統（一） | 3 | EE3404 |
| 電機系 | 電機動態與控制 | 3 | EE3408 |
| 電機系 | 工業配電 | 3 | EE3410 |
| 電機系 | 電力系統（二） | 3 | EE4405 |
| 電機系 | 電源與電池管理系統導論 | 3 | EE4413 |
| 電機碩 | 配電管理系統專題 | 3 | EE5406 |
| 電機碩 | 電力系統專題 | 3 | EE5410 |
| 電機碩 | 電力系統控制與穩定度 | 3 | EE5411 |
| 電機碩 | 電力系統運轉 | 3 | EE5413 |
| 電機碩 | 電力電子轉換器 | 3 | EE5416 |
| 電機碩 | 電力潮流分析 | 3 | EE5417 |
| 電機碩 | 配電系統分析專題 | 3 | EE5425 |
| 電機碩 | 智慧電網專題 | 3 | EE5426 |
| 電機碩 | 電力系統最佳化技術 | 3 | EE5429 |
| 電機碩 | 配電自動化簡介 | 3 | EE5431 |
| 電機碩 | 再生能源和電網電壓調節的電力轉換器專題 | 3 | EE5433 |
| 電機電力碩 | 電力品質 | 3 | IMPE502 |
| 電機電力碩 | 電力潮流分析 | 3 | IMPE503 |
| 電機電力碩 | 電力電子轉換器 | 3 | IMPE504 |
| 電機電力碩 | 電力系統運轉 | 3 | IMPE508 |
| 電機電力碩 | 電力系統可靠度分析 | 3 | IMPE5009 |
| 電機電力碩 | 電力系統動態模型建立與模擬 | 3 | IMPE5010 |
| 電機電力碩 | 電力系統規劃 | 3 | IMPE5011 |
| 電機電力碩 | 電力與再生能源應用 | 3 | IMPE5012 |
| 電機電力碩 | 電力系統暫態及動態分析專題 | 3 | IMPE5013 |
| 機電系 | 應用電子學 | 3 | MEME209 |
| 機電系 | 機械振動 | 3 | MEME318 |
| 機電系 | 機電整合 | 3 | MEME327 |
| 機電系 | 太陽能工程概論 | 3 | MEME407 |
| 機電系 | 綠色能源工程 | 3 | MEME424 |
| 機電碩 | 計算結構力學 | 3 | MEME530 |
| 機電碩 | 超音波探傷 | 3 | MEME535 |
| 機電碩 | 太陽能工程 | 3 | MEME509 |
| 機電碩 | 機電傳動系統 | 3 | MEME572 |
| 海工系 | 外海結構工程導論 | 3 | MAEV346 |
| 海工系 | 海洋與海岸管理 | 3 | MAEV360 |
| 海工系 | 港灣工程（含設計實例） | 3 | MAEV422 |
| 海工碩 | 海洋大地工程（一） | 3 | MAEV540 |
| 海工碩 | 海洋大地工程（二） | 3 | MAEV541 |
| 海工碩 | 海洋結構動力學 | 3 | MAEV542 |
| 海工碩 | 海底調查工程技術 | 3 | MAEV543 |
| 海工碩 | 外海結構分析與設計 | 3 | MAEV545 |
| 海工碩 | 港灣工程案例探討與改進 | 3 | MAEV546 |
| 海工碩 | 基礎工程實務 | 3 | MAEV547 |
| 海工碩 | 離岸結構矩陣分析 | 3 | MAEV548 |
| 海工碩 | 海洋地理資訊系統及實習 | 4 | MAEV560 |
| 海下科技所 | 工程聲學 | 3 | UT508 |
| 海下科技所 | 水下光電 | 3 | UT542 |
| 海下科技碩 | 訊號與系統 | 3 | UT520 |
| 海下科技碩 | 隨機振動 | 3 | UT527 |
| 海下科技碩 | 水下音傳與訊號處理 | 3 | UT533 |
| 海下科技碩 | 主動海洋聲學 | 3 | UT537 |
| 海下科技碩 | 被動海洋聲學 | 3 | UT538 |
| 海下科技碩 | 電子電路與控制 | 3 | UT541 |
| 海下科技碩 | 應用電子電路 | 3 | UT614 |
| 海下科技碩 | 大型計畫專案管理 | 3 | UT702 |
| 海科院(學) | 潛水理論與實務 | 3 | MRSC113 |
| 海科院(碩) | 高級潛水調查技術 | 3 | MRSC502 |

> 總學分數：至少18學分

**備註：**
1. 【整合學程】課程規劃至少 18 學分。
2. 【整合學程】學生所修習之學程課程中，至少應有6學分不屬於學生本系所、雙主修及輔系之課程。
3. 修習學程適用之課程規劃表請依核准修習學年期版本為主。
