## 【113 學年度第 1 學期版本】
113.11.12 113 學年度第 1 學期學分學程會議通過
113.12.12 第 182 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 光電碩 | 光電子學(英) | 3 | 各課程屬性僅採計3學分 |
| 光電碩 | 積體光電元件原理與設計(英) | 3 | 各課程屬性僅採計3學分 |
| 電機系 | 半導體元件(一)(英) | 3 | 各課程屬性僅採計3學分 |
| 半導體製造碩 | 光電半導體科技(英) | 3 | 各課程屬性僅採計3學分 |
| 光電系 | 半導體物理(英) | 3 | 各課程屬性僅採計3學分 |
| 光電系 | 半導體奈米元件製造技術 | 3 | 各課程屬性僅採計3學分 |
| 物理碩 | 半導體奈米元件製造技術 | 3 | 各課程屬性僅採計3學分 |
| 物理系 | 半導體奈米元件製造技術 | 3 | 各課程屬性僅採計3學分 |
| 材光碩 | 半導體物理 | 3 | 各課程屬性僅採計3學分 |
| 光電系 | 幾何光學實驗(英) | 1 | 各課程屬性僅採計3學分 |
| 光電系 | 物理光學實驗(英) | 1 | 各課程屬性僅採計3學分 |
| 光電系 | 光子學實驗(英) | 1 | 各課程屬性僅採計3學分 |
| 光電系 | 檢測技術在光電上的應用(英) | 3 | 各課程屬性僅採計3學分 |
| 半導體製造碩 | 半導體元件特性量測分析 | 3 | 各課程屬性僅採計3學分 |

> 核心課程學分數： 9 學分

### 選修課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 光電系 | 固態物理導論 | 3 | — |
| 光電系 | 雷射導論(英) | 3 | — |
| 光電系 | 光電材料概論(英) | 3 | — |
| 光電系 | 量子力學導論 | 3 | — |
| 光電系 | 近代物理 | 3 | — |
| 光電碩 | 波導光學(英) | 3 | — |
| 光電碩 | 半導體光電元件(英) | 3 | — |
| 光電碩 | 光電子元件應用(英) | 3 | — |
| 光電碩 | 進階半導體物理與元件(英) | 3 | — |
| 光電碩 | 光電材料(英) | 3 | — |
| 機電系 | 應用電子學 | 3 | — |
| 機電系 | 應用電子學(英) | 3 | — |
| 機電碩 | 半導體製程設備與技術 | 3 | — |
| 材光系 | 光電科技概論(英) | 3 | — |
| 材光系 | 固態物理(英) | 3 | — |
| 材光系 | 材料科學導論(英) | 3 | — |
| 材光碩 | 半導體製程原理 | 3 | — |
| 物理系 | 近代物理 | 3 | — |
| 物理碩 | 量子力學(英) | 3 | — |
| 電機系 | 微電子技術(英) | 3 | — |
| 電機系 | 電子材料工程(英) | 3 | — |
| 電機系 | 數位系統設計 | 3 | — |
| 電機系 | 數位系統設計(英) | 3 | — |
| 電機系 | 實用數位系統設計 | 3 | — |
| 電機系 | 實用數位系統設計(英) | 3 | — |
| 電機系 | VLSI 設計導論 | 3 | — |
| 電機系 | VLSI 設計導論(英) | 3 | — |
| 電機碩 | 高等矽覆絕緣技術 | 3 | — |
| 電機碩 | ＳＯＩ積體電路工程 | 3 | — |
| 資工系 | 數位電子學 | 3 | — |
| 資工系 | 積體電路電腦輔助設計概論 | 3 | — |
| 資工系 | 超大型積體電路設計概論 | 3 | — |

> 總學分數：至少 18 學分

**備註：**
1. 【整合學程】課程規劃至少 18 學分。
2. 【整合學程】學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。
3. 修習學程適用之課程規劃表請依核准修習學年期版本為主。
