## 【113 學年度第 2 學期版本】
114.4.15 113 學年度第 2 學期學分學程會議通過，114.5.15 第 184 次教務會議通過

### 核心課程

| 學程科目 | 課程名稱 | 開課單位 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- |
| 半導體製程 | 半導體製程導論 | 機電系 | 3 | — |
| 半導體製程 | 半導體製程原理 | 材光所 | 3 | — |
| 半導體製程 | 半導體奈米元件製造技術 | 物理系 | 3 | — |
| 半導體製程 | 半導體奈米元件製造技術 | 物理所 | 3 | — |
| 半導體製程 | 半導體奈米元件製造技術 | 光電系 | 3 | — |
| 半導體製程 | 積體電路技術 | 電機所 | 3 | — |
| 半導體製程 | 半導體製程整合技術 | 封測所 | 3 | — |
| 半導體製程 | 半導體製程整合技術 | 製造所 | 3 | — |
| 半導體製程 | 微電子技術 | 電機系 | 3 | — |
| 半導體元件物理 | 半導體元件(一) | 電機系 | 3 | — |
| 半導體元件物理 | 半導體元件(二) | 電機系 | 3 | — |
| 半導體元件物理 | 半導體元件 | 材光所 | 3 | — |
| 半導體元件物理 | 固態電子元件(一) | 電機所 | 3 | — |
| 半導體元件物理 | 固態電子元件(二) | 電機所 | 3 | — |
| 半導體元件物理 | 固態電子元件(三) | 電機所 | 3 | — |
| 半導體元件物理 | 半導體奈米元件物理 | 物理所 | 3 | — |
| 半導體元件物理 | 記憶體元件與製程技術 | 材光所 | 3 | — |
| 半導體元件物理 | 半導體元件與物理 | 製造所 | 3 | — |
| 半導體元件物理 | 進階半導體物理與元件 | 光電所 | 3 | — |
| 電子學 | 電子學(一) | 電機系 | 3 | — |
| 電子學 | 電子學(一) | 材光系 | 3 | — |
| 電子學 | 電子學(一) | 光電系 | 3 | — |
| 電子學 | 電子學(二) | 電機系 | 3 | — |
| 電子學 | 電子學(二) | 材光系 | 3 | — |
| 電子學 | 電子學(二) | 光電系 | 3 | — |
| 電子學 | 電子學(三) | 電機系 | 3 | — |
| 電子學 | 應用電子學 | 機電系 | 3 | — |
| 電子學 | 數位電子學 | 機電系 | 3 | — |
| 電子學 | 電力電子學 | 電機系 | 3 | — |
| 電子學 | 光電子學 | 光電所 | 3 | — |
| 電子學 | 應用電子學及實驗(一) | 物理系 | 3 | — |
| 熱力學 | 熱力學 | 機電系 | 3 | — |
| 熱力學 | 材料熱力學 | 材光系 | 3 | — |
| 熱力學 | 中等熱力學 | 機電所 | 3 | — |
| 熱力學 | 高等熱力學 | 機電所 | 3 | — |
| 熱力學 | 冶金熱力學 | 材光所 | 3 | — |
| 熱力學 | 熱統計物理 | 物理所 | 3 | — |
| 無機化學 | 無機化學(一) | 化學系 | 3 | — |
| 無機化學 | 無機化學(二) | 化學系 | 3 | — |
| 無機化學 | 無機化學(三) | 化學系 | 3 | — |
| 無機化學 | 高等無機化學 | 化學所 | 3 | — |
| 電路學 | 電路學(一) | 電機系 | 3 | — |
| 電路學 | 電路學(二) | 電機系 | 3 | — |
| 電路學 | 電路學 | 機電系 | 3 | — |
| 材料分析 | 材料分析 | 零組件所 | 3 | — |
| 材料分析 | 材料光譜分析 | 材光所 | 3 | — |
| 材料分析 | 半導體材料測試與分析 | 材光所 | 3 | — |
| 材料分析 | 高分子檢測與分析 | 材光所 | 3 | — |
| 材料分析 | 材料顯微分析技術 | 材光系 | 3 | — |
| 分析化學 | 分析化學(一) | 化學系 | 3 | — |
| 分析化學 | 分析化學(二) | 化學系 | 3 | — |
| 分析化學 | 分析化學(三) | 化學系 | 3 | — |
| 儀器分析 | 儀器分析(一) | 化學系 | 3 | — |
| 儀器分析 | 儀器分析(二) | 化學系 | 3 | — |
| 輸送現象 | 材料加工之輸送現象 | 機電所 | 3 | — |
| 流體力學 | 流體力學 | 機電系 | 3 | — |
| 流體力學 | 計算流體力學及熱傳學 | 機電所 | 3 | — |
| 流體力學 | 中等流體力學 | 機電系 | 3 | — |
| 擴散與相變化 | 相變化 | 材光系 | 3 | — |
| 擴散與相變化 | 固態相變化 | 材光所 | 3 | — |
| 擴散與相變化 | 材料變形與破壞 | 材光所 | 3 | — |
| 實驗設計與統計應用 | 統計與實驗設計實作 | 零組件所 | 3 | — |
| 實驗設計與統計應用 | 工程統計與品質管理 | 封測所 | 3 | — |
| 固態物理導論 | 固態物理導論(一) | 物理系 | 3 | — |
| 固態物理導論 | 固態物理導論(二) | 物理系 | 3 | — |
| 固態物理導論 | 固態物理導論 | 光電系 | 3 | — |
| 固態物理導論 | 固態物理 | 材光系 | 3 | — |

> 核心課程(必修)學分數： 6 學分
> 核心課程(必選修)學分數： 18 學分

**備註：**
1. 每一學程科目僅採計一門課程學分。
2. 核心(必修)13學程科目應選2門課程。
3. 核心(必選修)15學程科目應選6門課程。

### 選修課程

| 學程科目 | 課程名稱 | 開課單位 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- |
| 基礎材料科學 | 材料科學導論 | 材光系 | 3 | — |
| 基礎材料科學 | 材料科學 | 封測所 | 3 | — |
| 基礎材料科學 | 材料科學 | 零組件所 | 3 | — |
| 基礎材料科學 | 高分子材料導論 | 材光系 | 3 | — |
| 工程數學(一) | 工程數學(一) | 材光系 | 3 | — |
| 工程數學(一) | 工程數學(一) | 機電系 | 3 | — |
| 工程數學(一) | 工程數學(二) | 光電系 | 3 | — |
| 工程數學(一) | 應用數學(一) | 物理系 | 3 | — |
| 工程數學(一) | 應用數學(三) | 物理系 | 3 | — |
| 工程數學(一) | 微分方程 | 電機系 | 3 | — |
| 物理冶金 | 物理冶金 | 材光所 | 3 | — |
| 物理冶金 | 冶金熱力學 | 材光所 | 3 | — |
| 表面科學 | 表面物理 | 物理所 | 3 | — |
| 表面科學 | 表面化學 | 化學所 | 3 | — |
| 表面科學 | 材料表面特性與分析 | 封測所 | 3 | — |
| 電子顯微鏡 | 電子顯微鏡 | 材光所 | 3 | — |
| 電子顯微鏡 | 電子顯微鏡學 | 零組件所 | 3 | — |
| 電子顯微鏡 | 電子顯微鏡於軟物質研究之應用 | 材光所 | 3 | — |
| 物理化學 | 物理化學 | 材光系 | 3 | — |
| 物理化學 | 物理化學(一) | 化學系 | 3 | — |
| 物理化學 | 物理化學(二) | 化學系 | 3 | — |
| 結晶學/晶體缺陷 | X光結晶繞射學 | 化學所 | 3 | — |
| 結晶學/晶體缺陷 | 晶體結構與缺陷 | 材光系 | 3 | — |
| 有機化學 | 有機化學(一) | 化學系 | 3 | — |
| 有機化學 | 有機化學(一) | 材光系 | 3 | — |
| 有機化學 | 有機化學(二) | 化學系 | 3 | — |
| 有機化學 | 有機化學(二) | 材光系 | 3 | — |
| 有機化學 | 有機化學(三) | 化學系 | 3 | — |
| 有機化學 | 物理有機化學 | 化學所 | 3 | — |
| 有機化學 | 高等有機化學 | 化學所 | 3 | — |
| 材料化學 | 材料化學 | 材光所 | 3 | — |
| 高分子科學 | 高分子物理 | 材光系 | 3 | — |
| 高分子科學 | 高分子化學導論 | 化學系 | 3 | — |
| 高分子科學 | 高分子化學 | 化學所 | 3 | — |
| 高分子材料 | 高分子材料導論 | 材光系 | 3 | — |
| 高分子材料 | 高分子材料 | 封測所 | 3 | — |
| 高分子材料 | 高分子材料 | 零組件所 | 3 | — |
| 電漿工程與應用 | 電漿製程 | 光電所 | 3 | — |
| 電磁學 | 電磁學(一) | 電機系 | 3 | — |
| 電磁學 | 電磁學(一) | 材光系 | 3 | — |
| 電磁學 | 電磁學 | 物理系 | 3 | — |
| 近代物理 | 近代物理 | 物理系 | 3 | — |
| 近代物理 | 近代物理 | 材光系 | 3 | — |
| 近代物理 | 近代物理 | 光電系 | 3 | — |
| 量子力學導論 | 量子力學 | 物理所 | 3 | — |
| 量子力學導論 | 量子力學導論 | 光電系 | 3 | — |
| 量子力學導論 | 量子物理 | 材光系 | 3 | — |
| 量子力學導論 | 量子物理(一) | 物理系 | 3 | — |
| 量子力學導論 | 量子物理(二) | 物理系 | 3 | — |
| 量子力學導論 | 物理化學(一) | 化學系 | 3 | — |
| 微電子工程 | 微電子技術 | 電機系 | 3 | — |
| 積體電路設計 | VLSI設計導論 | 電機系 | 3 | — |
| 積體電路設計 | 數位通訊電路設計 | 電機所 | 3 | — |
| 積體電路設計 | 音頻電路設計 | 電機系 | 3 | — |
| 材料物理性質 | 材料物理性質 | 材光系 | 3 | — |
| 半導體/奈米/機電材料 | 奈米材料 | 電機所 | 3 | — |
| 半導體/奈米/機電材料 | 微奈米材料 | 機電所 | 3 | — |
| 半導體/奈米/機電材料 | 電子材料工程 | 電機系 | 3 | — |
| 半導體/奈米/機電材料 | 電子材料 | 零組件所 | 3 | — |
| 半導體/奈米/機電材料 | 機電材料 | 機電系 | 3 | — |
| 半導體/奈米/機電材料 | 半導體材料 | 零組件所 | 3 | — |
| 半導體/奈米/機電材料 | 有機半導體材料 | 材光所 | 3 | — |
| 半導體/奈米/機電材料 | 有機半導體材料與元件 | 封測所 | 3 | — |
| 半導體/奈米/機電材料 | 低維度電子材料 | 電機所 | 3 | — |
| 半導體/奈米/機電材料 | 低維度半導體科學 | 材光所 | 3 | — |
| 半導體/奈米/機電材料 | 工程數學(二) | 材光系 | 3 | — |
| 工程數學(二) | 工程數學(二) | 機電系 | 3 | — |
| 工程數學(二) | 應用數學(二) | 物理系 | 3 | — |
| 工程數學(二) | 線性代數 | 電機系 | 3 | — |
| 電化學原理 | 電化學 | 化學所 | 3 | — |
| 電化學原理 | 分析電化學 | 材光所 | 3 | — |
| 半導體薄膜技術 | 半導體薄膜技術 | 電機所 | 3 | — |
| 半導體薄膜技術 | 高等矽覆絕緣技術 | 電機所 | 3 | — |
| 半導體薄膜技術 | SOI積體電路工程 | 電機所 | 3 | — |
| 半導體薄膜技術 | 薄膜工程與檢測技術 | 零組件所 | 3 | — |
| 半導體薄膜技術 | 半導體薄膜工程 | 製造所 | 3 | — |
| 半導體薄膜技術 | 薄膜製程技術 | 材光所 | 3 | — |
| 半導體薄膜技術 | 薄膜製程技術 | 機電所 | 3 | — |
| 光學 | 光學 | 物理系 | 3 | — |
| 光學 | 光學(一) | 材光系 | 3 | — |
| 光學 | 光學(二) | 材光系 | 3 | — |
| 光學 | 幾何光學 | 光電系 | 3 | — |
| 光學 | 物理光學 | 光電所 | 3 | — |
| 光學 | 物理光學 | 光電系 | 3 | — |
| 光學 | 繞射光學 | 光電所 | 3 | — |
| 光學 | 傅氏光學 | 材光所 | 3 | — |
| 光學 | 波動光學 | 材光所 | 3 | — |
| 光學 | 近代光學 | 光電所 | 3 | — |
| 光學 | 光子學 | 光電系 | 3 | — |
| 光學 | 光學顯微術導論 | 化學系 | 3 | — |
| 材料力學 | 應用力學與材料力學 | 封測所 | 3 | — |
| 光學微影技術 | 半導體微影設備系統概論 | 機電所 | 3 | — |
| 光學微影技術 | 先進微影科技理論與實務 | 製造所 | 3 | — |
| 電子封裝技術 | 電子封裝簡介 | 機電系 | 3 | — |
| 電子封裝技術 | 電子封裝結構設計與製程技術 | 封測所 | 3 | — |
| 電子封裝技術 | 雷射微加工於電子封裝之應用 | 封測所 | 3 | — |
| 電子封裝技術 | 高階電子封裝結構設計與製程技術 | 封測所 | 3 | — |

> 總學分數：至少 33 學分

**備註：**
1. 每一學程科目僅採計一門課程學分。
2. 選修11學程科目應選3門課程。
3. 【整合學程】課程規劃至少 33 學分；學生可使用「核心課程（必修/必選修）」之學分抵免專業選修學分，惟不得重複計入學程核心課程學分。
4. 【整合學程】學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。
