## 【113 學年度第 2 學期版本】
114.4.15 113 學年度第 2 學期學分學程會議通過
114.5.15 第 184 次教務會議通過

### 核心課程

| 學程科目 | 課程名稱 | 開課系所 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- |
| 半導體製程設備與技術 | 半導體製程設備與技術 | 機電所 | 3 | 1.每一學程科目僅採計一門課程學分。<br>2.核心(必修)2學程科目應選2門課程。 |
| 機器人與自動化應用 | 機器人學 | 電機所 | 3 | — |
| 機器人與自動化應用 | 行動機器人 | 電機所 | 3 | — |
| 機器人與自動化應用 | 機械設計原理(一) | 機電系 | 3 | — |
| 機器人與自動化應用 | 機械設計原理(二) | 機電系 | 3 | — |
| 機器人與自動化應用 | 機動學 | 機電系 | 3 | — |

> 核心課程學分數： 6 學分

### 核心課程(必選修)

| 學程科目 | 課程名稱 | 開課系所 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- |
| 半導體製程 | 半導體製程導論 | 機電系 | 3 | 1.每一學程科目僅採計一門課程學分。<br>2.核心(必選修)13學程科目應選6門課程。 |
| 半導體製程 | 半導體製程原理 | 材光所 | 3 | — |
| 半導體製程 | 半導體製程整合技術 | 封測所 | 3 | — |
| 半導體製程 | 半導體製程整合技術 | 零組件所 | 3 | — |
| 半導體製程 | 半導體奈米元件製造技術 | 物理系 | 3 | — |
| 半導體製程 | 半導體奈米元件製造技術 | 物理所 | 3 | — |
| 半導體製程 | 積體電路技術 | 電機所 | 3 | — |
| 半導體製程 | 微電子技術 | 電機系 | 3 | — |
| 電機機械與電路學 | 電路學 | 機電系 | 3 | — |
| 電機機械與電路學 | 電路學(一) | 電機系 | 3 | — |
| 電機機械與電路學 | 電路學(二) | 電機系 | 3 | — |
| 電機機械與電路學 | 電機機械 | 電機系 | 3 | — |
| 電機機械與電路學 | 機械設計原理(一) | 機電系 | 3 | — |
| 電機機械與電路學 | 機械設計原理(二) | 機電系 | 3 | — |
| 機電整合與自動化應用 | 機電整合 | 機電系 | 3 | — |
| 機電整合與自動化應用 | 機電傳動系統 | 機電所 | 3 | — |
| 機電整合與自動化應用 | 電機動態與控制 | 電機系 | 3 | — |
| 機電整合與自動化應用 | 控制系統 | 電機系 | 3 | — |
| 機電整合與自動化應用 | 自動控制 | 機電系 | 3 | — |
| 機電整合與自動化應用 | 數位控制 | 機電系 | 3 | — |
| 機電整合與自動化應用 | 數位控制 | 機電所 | 3 | — |
| 機電整合與自動化應用 | 適應控制 | 機電所 | 3 | — |
| 機電整合與自動化應用 | 最佳控制 | 機電所 | 3 | — |
| 機電整合與自動化應用 | 最佳控制簡介 | 電機系 | 3 | — |
| 機電整合與自動化應用 | 交直流馬達控制 | 電機所 | 3 | — |
| 機電整合與自動化應用 | 模糊邏輯與控制 | 機電所 | 3 | — |
| 機電整合與自動化應用 | 非線性系統及控制 | 機電所 | 3 | — |
| 感測技術基礎科學 | 感測器原理與應用 | 機電所 | 3 | — |
| 感測技術基礎科學 | 感測與檢測 | 機電系 | 3 | — |
| 感測技術基礎科學 | 感測元件 | 電機所 | 3 | — |
| 感測技術基礎科學 | 感測元件 | 零組件所 | 3 | — |
| 真空技術 | 真空技術與應用 | 機電所 | 3 | — |
| 熱力學 | 熱力學 | 機電系 | 3 | — |
| 熱力學 | 材料熱力學 | 材光系 | 3 | — |
| 熱力學 | 中等熱力學 | 機電系 | 3 | — |
| 熱力學 | 高等熱力學 | 機電系 | 3 | — |
| 熱力學 | 熱傳學 | 機電系 | 3 | — |
| 熱力學 | 中等熱傳學 | 機電系 | 3 | — |
| 熱力學 | 物理化學 | 材光系 | 3 | — |
| 熱力學 | 物理化學(二) | 化學系 | 3 | — |
| 熱力學 | 熱統計物理 | 物理系 | 3 | — |
| 機構設計與加工 | 創造性機構設計 | 機電所 | 3 | — |
| 機構設計與加工 | 自動化機構 | 機電所 | 3 | — |
| 機構設計與加工 | 平面機構運動學 | 機電所 | 3 | — |
| 機構設計與加工 | 空間機構運動學 | 機電所 | 3 | — |
| 機構設計與加工 | 奈米加工學 | 機電所 | 3 | — |
| 機構設計與加工 | 塑性加工學 | 機電所 | 3 | — |
| 機構設計與加工 | 精密機械製造 | 機電所 | 3 | — |
| 化學/化學工程 | 工程化學 | 機電系 | 3 | — |
| 化學/化學工程 | 普通化學 | 化學系 | 3 | — |
| 化學/化學工程 | 普通化學(一) | 物理系 | 3 | — |
| 化學/化學工程 | 普通化學(一) | 材光系 | 3 | — |
| 化學/化學工程 | 普通化學(二) | 物理系 | 3 | — |
| 化學/化學工程 | 普通化學(二) | 材光系 | 3 | — |
| 基礎材料科學 | 材料科學導論 | 材光系 | 3 | — |
| 基礎材料科學 | 材料科學 | 封測所 | 3 | — |
| 基礎材料科學 | 材料科學 | 零組件所 | 3 | — |
| 基礎材料科學 | 高分子材料導論 | 材光系 | 3 | — |
| 基礎材料科學 | 複合材料力學 | 機電所 | 3 | — |
| 電子學 | 電子學(一) | 電機系 | 3 | — |
| 電子學 | 電子學(一) | 材光系 | 3 | — |
| 電子學 | 電子學(二) | 電機系 | 3 | — |
| 電子學 | 電子學(二) | 材光系 | 3 | — |
| 電子學 | 電子學(三) | 電機系 | 3 | — |
| 電子學 | 數位電子學 | 機電系 | 3 | — |
| 電子學 | 應用電子學 | 機電系 | 3 | — |
| 電子學 | 電力電子學 | 電機系 | 3 | — |
| 微機電系統 | 微機電系統概論 | 機電系 | 3 | — |
| 微機電系統 | 奈微系統工程原理 | 電機系 | 3 | — |
| 微機電系統 | 微機電系統 | 電機所 | 3 | — |
| 微機電系統 | 微機電製程實務 | 機電系 | 2 | — |
| 程式語言 | 工程電腦程式 | 機電系 | 3 | — |
| 程式語言 | 計算機程式與應用 | 機電所 | 3 | — |
| 程式語言 | 計算機程式 | 電機系 | 3 | — |
| 實驗設計與統計應用 | 統計與實驗設計實作 | 零組件所 | 3 | — |
| 實驗設計與統計應用 | 工程統計與品質管理 | 封測所 | 3 | — |

> 核心課程(必選修)學分數： 18 學分

### 選修課程

| 課程類別 | 課程名稱 | 開課系所 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- |
| 半導體元件物理 | 半導體元件(一) | 電機系 | 3 | 1.每一學程科目僅採計一門課程學分。<br>2.選修8學程科目應選3門課程。 |
| 半導體元件物理 | 半導體元件(二) | 電機系 | 3 | — |
| 半導體元件物理 | 半導體元件 | 材光所 | 3 | — |
| 半導體元件物理 | 固態電子元件(一) | 電機所 | 3 | — |
| 半導體元件物理 | 固態電子元件(二) | 電機所 | 3 | — |
| 半導體元件物理 | 固態電子元件(三) | 電機所 | 3 | — |
| 半導體元件物理 | 半導體奈米元件物理 | 物理所 | 3 | — |
| 半導體元件物理 | 記憶體元件與製程技術 | 材光所 | 3 | — |
| 半導體元件物理 | 半導體元件與物理 | 製造所 | 3 | — |
| 半導體/奈米/機電材料 | 奈米材料 | 電機所 | 3 | — |
| 半導體/奈米/機電材料 | 微奈米材料 | 機電所 | 3 | — |
| 半導體/奈米/機電材料 | 電子材料工程 | 電機系 | 3 | — |
| 半導體/奈米/機電材料 | 電子材料 | 零組件所 | 3 | — |
| 半導體/奈米/機電材料 | 機電材料 | 機電系 | 3 | — |
| 半導體/奈米/機電材料 | 半導體材料 | 零組件所 | 3 | — |
| 半導體/奈米/機電材料 | 有機半導體材料 | 材光所 | 3 | — |
| 半導體/奈米/機電材料 | 有機半導體材料與元件 | 封測所 | 3 | — |
| 半導體/奈米/機電材料 | 低維度電子材料 | 電機所 | 3 | — |
| 半導體/奈米/機電材料 | 低維度半導體科學 | 材光所 | 3 | — |
| 流體力學 | 流體力學 | 機電系 | 3 | — |
| 流體力學 | 計算流體力學及熱傳學 | 機電所 | 3 | — |
| 流體力學 | 中等流體力學 | 機電系 | 3 | — |
| 智慧製造技術 | 智慧製造聯網整合技術 | 機電系 | 3 | — |
| 智慧製造技術 | 智慧製造與監測技術 | 機電所 | 3 | — |
| 智慧製造技術 | 智慧製造與控制實務 | 封測所 | 3 | — |
| 量測原理 | 光電導論 | 物理系 | 3 | — |
| 量測原理 | 傅氏光學 | 材光所 | 3 | — |
| 半導體薄膜技術 | 半導體薄膜技術 | 電機所 | 3 | — |
| 半導體薄膜技術 | 高等矽覆絕緣技術 | 電機所 | 3 | — |
| 半導體薄膜技術 | SOI 積體電路工程 | 電機所 | 3 | — |
| 半導體薄膜技術 | 薄膜製程技術 | 機電所 | 3 | — |
| 半導體薄膜技術 | 薄膜製程技術 | 材光所 | 3 | — |
| 半導體薄膜技術 | 半導體薄膜工程 | 製造所 | 3 | — |
| 半導體薄膜技術 | 薄膜工程與檢測技術 | 零組件所 | 3 | — |
| 無機化學 | 無機化學(一) | 化學系 | 3 | — |
| 無機化學 | 無機化學(二) | 化學系 | 3 | — |
| 無機化學 | 無機化學(三) | 化學系 | 3 | — |
| 無機化學 | 高等無機化學 | 化學系 | 3 | — |
| 機器學習/深度學習 | 機器學習系統設計實務與應用 | 電機系 | 3 | — |
| 機器學習/深度學習 | 深度學習理論與應用 | 機電所 | 3 | — |

> 總學分數：至少 33 學分

**備註：**
1. 課程規劃至少 33 學分；學生可使用「核心課程（必選修）」之學分抵免專業選修學分，惟不得重複計入學程核心課程學分。
2. 學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。
