## 【114 學年度第 1 學期版本】
114.11.4 114 學年度第 1 學期學分學程會議通過
114.12.9 第 186 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 校內各系 | 線性代數 | 3 | 線性代數、線性代數（一）、線性代數（二）等課程至多採認一科。 |
| 校內各系 | 線性代數（一） | 3 | 線性代數、線性代數（一）、線性代數（二）等課程至多採認一科。 |
| 校內各系 | 線性代數（二） | 3 | 線性代數、線性代數（一）、線性代數（二）等課程至多採認一科。 |
| 校內各系 | 機率學 | 3 | 機率論（一）、機率論（二）、機率與統計、機率模式與應用、機率學等課程至多採認一科。 |
| 校內各系 | 機率論（一） | 3 | 機率論（一）、機率論（二）、機率與統計、機率模式與應用、機率學等課程至多採認一科。 |
| 校內各系 | 機率論（二） | 3 | 機率論（一）、機率論（二）、機率與統計、機率模式與應用、機率學等課程至多採認一科。 |
| 校內各系 | 機率與統計 | 3 | 機率論（一）、機率論（二）、機率與統計、機率模式與應用、機率學等課程至多採認一科。 |
| 校內各系 | 機率模式與應用 | 3 | 機率論（一）、機率論（二）、機率與統計、機率模式與應用、機率學等課程至多採認一科。 |
| 校內各系 | 統計學 | 3 | 統計學、統計學（一）、統計學（二）、高等統計學等課程至多採認一科。 |
| 校內各系 | 統計學（一） | 3 | 統計學、統計學（一）、統計學（二）、高等統計學等課程至多採認一科。 |
| 校內各系 | 統計學（二） | 3 | 統計學、統計學（一）、統計學（二）、高等統計學等課程至多採認一科。 |
| 校內各系 | 高等統計學 | 3 | 統計學、統計學（一）、統計學（二）、高等統計學等課程至多採認一科。 |
| 校內各系 | 財務管理 | 3 | 財務管理、財務管理（一）、財務管理（二）、財務管理概論、財務管理理論等課程至多採認一科。 |
| 校內各系 | 財務管理（一） | 3 | 財務管理、財務管理（一）、財務管理（二）、財務管理概論、財務管理理論等課程至多採認一科。 |
| 校內各系 | 財務管理（二） | 3 | 財務管理、財務管理（一）、財務管理（二）、財務管理概論、財務管理理論等課程至多採認一科。 |
| 校內各系 | 財務管理概論 | 3 | 財務管理、財務管理（一）、財務管理（二）、財務管理概論、財務管理理論等課程至多採認一科。 |
| 校內各系 | 財務管理理論 | 3 | 財務管理、財務管理（一）、財務管理（二）、財務管理概論、財務管理理論等課程至多採認一科。 |
| 校內各系 | 經濟學概論 | 3 | 經濟學概論、經濟學、經濟學（一）、經濟學（二）、經濟學原理（一）、經濟學原理（二）、個體經濟學、個體經濟學（一）、個體經濟學（二）、總體經濟學、總體經濟學（一）、總體經濟學（二）等課程至多採認一科。 |
| 校內各系 | 經濟學 | 3 | 經濟學概論、經濟學、經濟學（一）、經濟學（二）、經濟學原理（一）、經濟學原理（二）、個體經濟學、個體經濟學（一）、個體經濟學（二）、總體經濟學、總體經濟學（一）、總體經濟學（二）等課程至多採認一科。 |
| 校內各系 | 經濟學（一） | 3 | 經濟學概論、經濟學、經濟學（一）、經濟學（二）、經濟學原理（一）、經濟學原理（二）、個體經濟學、個體經濟學（一）、個體經濟學（二）、總體經濟學、總體經濟學（一）、總體經濟學（二）等課程至多採認一科。 |
| 校內各系 | 經濟學（二） | 3 | 經濟學概論、經濟學、經濟學（一）、經濟學（二）、經濟學原理（一）、經濟學原理（二）、個體經濟學、個體經濟學（一）、個體經濟學（二）、總體經濟學、總體經濟學（一）、總體經濟學（二）等課程至多採認一科。 |
| 校內各系 | 經濟學原理（一） | 3 | 經濟學概論、經濟學、經濟學（一）、經濟學（二）、經濟學原理（一）、經濟學原理（二）、個體經濟學、個體經濟學（一）、個體經濟學（二）、總體經濟學、總體經濟學（一）、總體經濟學（二）等課程至多採認一科。 |
