## 【114 學年度第 2 學期版本】
115.4.14 114 學年度第 2 學期學分學程會議通過
115.5.21 第 188 次教務會議通過

### 核心課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| --- | --- | --- | --- |
| 博雅教育中心 | 社會文化分析<br>SOCIO-CULTURAL ANALYSIS | 3 | — |
| 基礎教育中心 | 後疫情時代的國際政治<br>INTERNATIONAL POLITICS IN POST-COVID19 ERA | 3 | — |
| 博雅教育中心 | 在地食物的永續發展與全球脈絡<br>SUSTAINABLE LOCAL FOOD IN GLOBAL CONTEXT | 3 | 適用所有核准修習本學程學生。 |
| 博雅教育中心 | 人類與環境之交互關係<br>HUMAN-ENVIRONMENT INTERACTIONS | 3 | 適用所有核准修習本學程學生。 |
| 博雅教育中心 | 科學的本質<br>NATURE OF SCIENCE | 2 | 適用所有核准修習本學程學生。 |
| 博雅教育中心 | 科學思考與實作<br>SCIENTIFIC THINKING AND PRACTICE | 2 | 適用所有核准修習本學程學生。 |
| 博雅教育中心 | 台灣政經發展<br>TAIWAN'S POLITICAL ECONOMY DEVELOPMENT | 3 | 適用所有核准修習本學程學生。 |
| 跨院 EAP | 演說與辯論（高級）<br>PUBLIC SPEECH AND DEBATE（ADVANCED LEVEL） | 3 | 適用所有核准修習本學程學生。 |
| 跨院 EAP | 科技英文（高級）<br>ENGLISH FOR SCIENCE AND TECHNOLOGY( ADVANCED LEVEL) | 3 | 適用所有核准修習本學程學生。 |
| 跨院 ESP | 科技英文閱讀（中高級）<br>ENGLISH READING FOR SCIENCE AND TECHNOLOGY （ HIGH-INTERMEDIATE LEVEL） | 3 | 適用所有核准修習本學程學生。 |

### 選修課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| --- | --- | --- | --- |
| 基礎教育中心 | 通過體驗式學習自信地說英語<br>SPEAKING ENGLISH WITH CONFIDENCE THROUGH EXPERIENTIAL LEARNING | 3 | 為相同課程，不得重複修習，僅能認列其中一門。<br>適用所有核准修習本學程學生。 |
| 跨院 EAP | 通過體驗式學習自信地說英語（中級）<br>SPEAKING ENGLISH WITH CONFIDENCE THROUGH EXPERIENTIAL LEARNING(INTERMEDIATE LEVEL) | 3 | — |
| 跨院 EAP | 通過體驗式學習自信地說英語（中高級） | 3 | — |
| 基礎教育中心 | 透過實用性英語增進溝通能力<br>COMMUNICATION SKILLS THROUGH FUNCTIONAL ENGLISH | 3 | 為相同課程，不得重複修習，僅能認列其中一門。 |
| 跨院 EAP | 透過實用性英語增進溝通能力（中級）<br>IMPROVING COMMUNICATION SKILLS THROUGH FUNCTIONAL ENGLISH(INTERMEDIATE LEVEL) | 3 | — |
| 基礎教育中心 | 從英語課程學習多元文化<br>DEVELOPING MULTICULTURAL AWARENESS IN ENGLISH CLASSROOM | 3 | 為相同課程，不得重複修習，僅能認列其中一門。 |
| 跨院 ESP | 從英語課程學習多元文化（中高級）<br>DEVELOPING MULTICULTURAL AWARENESS IN ENGLISH CLASSROOM(HIGH-INTERMEDIATE LEVEL) 3 | 3 | — |
