## 【113 學年度第 2 學期版本】
114.4.15 113 學年度第 2 學期學分學程會議通過，114.5.15 第 184 次教務會議通過

### 核心課程

| 課程屬性 | 學程科目 | 採認課程名稱 | 開課系所 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- | :--- | :--- |
| 核心課程(必修) | 半導體製程設備與技術 | 半導體製程設備與技術 | 機電所 | 3 | 1.每一學程科目僅採計一門課程學分。2.核心(必修)2學程科目應選2門課程。 |
| | 機器人與自動化應用 | 機器人學 | 電機所 | 3 | — |
| | | 行動機器人 | 電機所 | 3 | — |
| | | 機械設計原理(一) | 機電系 | 3 | — |
| | | 機械設計原理(二) | 機電系 | 3 | — |
| | | 機動學 | 機電系 | 3 | — |
| 核心課程(必選修) | 半導體製程 | 半導體製程導論 | 機電系 | 3 | 1.每一學程科目僅採計一門課程學分。2.核心(必選修)13學程科目應選6門課程。 |
| | | 半導體製程原理 | 材光所 | 3 | — |
| | | 半導體製程整合技術 | 封測所 | 3 | — |
| | | 半導體製程整合技術 | 零組件所 | 3 | — |
| | | 半導體奈米元件製造技術 | 物理系 | 3 | — |
| | | 半導體奈米元件製造技術 | 物理所 | 3 | — |
| | | 積體電路技術 | 電機所 | 3 | — |
| | | 微電子技術 | 電機系 | 3 | — |
| | 電機機械與電路學 | 電路學 | 機電系 | 3 | — |
| | | 電路學(一) | 電機系 | 3 | — |
| | | 電路學(二) | 電機系 | 3 | — |
| | | 電機機械 | 電機系 | 3 | — |
| | | 機械設計原理(一) | 機電系 | 3 | — |
| | | 機械設計原理(二) | 機電系 | 3 | — |
| | 機電整合與自動化應用 | 機電整合 | 機電系 | 3 | — |
| | | 機電傳動系統 | 機電所 | 3 | — |
| | | 電機動態與控制 | 電機系 | 3 | — |
| | | 控制系統 | 電機系 | 3 | — |
| | | 自動控制 | 機電系 | 3 | — |
| | | 數位控制 | 機電系 | 3 | — |
| | | 數位控制 | 機電所 | 3 | — |
| | | 適應控制 | 機電所 | 3 | — |
| | | 最佳控制 | 機電所 | 3 | — |
| | | 最佳控制簡介 | 電機系 | 3 | — |
| | | 交直流馬達控制 | 電機所 | 3 | — |
| | | 模糊邏輯與控制 | 機電所 | 3 | — |
| | | 非線性系統及控制 | 機電所 | 3 | — |
| | 感測技術基礎科學 | 感測器原理與應用 | 機電所 | 3 | — |
| | | 感測與檢測 | 機電系 | 3 | — |
| | | 感測元件 | 電機所 | 3 | — |
| | | 感測元件 | 零組件所 | 3 | — |
| | 真空技術 | 真空技術與應用 | 機電所 | 3 | — |
| | 熱力學 | 熱力學 | 機電系 | 3 | — |
| | | 材料熱力學 | 材光系 | 3 | — |
| | | 中等熱力學 | 機電系 | 3 | — |
| | | 高等熱力學 | 機電系 | 3 | — |
| | | 熱傳學 | 機電系 | 3 | — |
| | | 中等熱傳學 | 機電系 | 3 | — |
| | | 物理化學 | 材光系 | 3 | — |
| | | 物理化學(二) | 化學系 | 3 | — |
| | | 熱統計物理 | 物理系 | 3 | — |
| | 機構設計與加工 | 創造性機構設計 | 機電所 | 3 | — |
| | | 自動化機構 | 機電所 | 3 | — |
| | | 平面機構運動學 | 機電所 | 3 | — |
| | | 空間機構運動學 | 機電所 | 3 | — |
| | | 奈米加工學 | 機電所 | 3 | — |
| | | 塑性加工學 | 機電所 | 3 | — |
| | | 精密機械製造 | 機電所 | 3 | — |
| | 化學/化學工程 | 工程化學 | 機電系 | 3 | — |
| | | 普通化學 | 化學系 | 3 | — |
| | | 普通化學(一) | 物理系 | 3 | — |
| | | 普通化學(一) | 材光系 | 3 | — |
| | | 普通化學(二) | 物理系 | 3 | — |
| | | 普通化學(二) | 材光系 | 3 | — |
| | 基礎材料科學 | 材料科學導論 | 材光系 | 3 | — |
| | | 材料科學 | 封測所 | 3 | — |
| | | 材料科學 | 零組件所 | 3 | — |
| | | 高分子材料導論 | 材光系 | 3 | — |
