## 【111 學年度第 1 學期版本】
111.10.31 111 學年度第 1 學期學分學程會議通過；111.12.5 第 174 次教務會議通過

### 核心課程
（本版本無核心課程）
> 核心課程學分數：0 學分

### 選修課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 海下所 | 大型計畫專案管理 | 3 | 設備系統科技、國防科技、能源科技、船艦工程 |
| 海工碩 | 波浪理論 | 3 | 國防科技、能源科技、船艦工程 |
| 海工系 | 流體動力學 | 3 | 能源科技、船艦工程 |
| 海工系 | 海岸工程學 | 3 | 設備系統科技、國防科技、能源科技、船艦工程 |
| 海工系 | 海洋流體力學 | 3 | 船艦工程 |
| 機電系 | 工程統計學 | 3 | 設備系統科技 |
| 機電系 | 工程電腦程式 | 3 | 設備系統科技 |
| 機電系 | 工程圖學 | 2 | 國防科技 |
| 海下所 | 工程機率與統計 | 3 | 設備系統科技、船艦工程 |
| 海下所 | 工程聲學 | 3 | 設備系統科技、船艦工程 |
| 電機系 | 工業配電 | 3 | 能源科技、船艦工程 |
| 機電系 | 太陽能工程概論 | 3 | 能源科技 |
| 海下所 | 水下音傳與訊號處理 | 3 | 國防科技、船艦工程 |
| 海下所 | 主動海洋聲學 | 3 | 國防科技、能源科技、船艦工程 |
| 海工系 | 外海結構工程導論 | 3 | 能源科技、船艦工程 |
| 電機系 | 多媒體通訊概論 | 3 | 設備系統科技 |
| 機電系 | 有限元素法概論 | 3 | 國防科技 |
| 機電系 | 自動化機構 | 3 | 設備系統科技 |
| 機電系 | 自動控制 | 3 | 設備系統科技 |
| 海下所 | 品質工程與實驗設計 | 3 | 設備系統科技 |
| 海工碩 | 施工技術與管理 | 3 | 設備系統科技 |
| 機電系 | 流體力學 | 3 | 能源科技 |
| 海工系 | 流體力學 | 3 | 設備系統科技、能源科技、船艦工程 |
| 海工碩 | 海事工程風險分析及管理 | 3 | 能源科技 |
| 海工碩 | 海底調查工程技術 | 3 | 國防科技 |
| 海工碩 | 海洋地理資訊系統及實習 | 4 | 國防科技 |
| 海工系 | 海洋波浪學 | 3 | 設備系統科技、國防科技、能源科技、船艦工程 |
| 海工碩 | 海域調查與量測 | 3 | 能源科技 |
| 機電碩 | 疲勞力學 | 3 | 船艦工程 |
| 機電碩 | 破壞力學 | 3 | 船艦工程 |
| 電機系 | 訊號與系統 | 3 | 設備系統科技、國防科技 |
| 海下所 | 訊號與系統 | 3 | 設備系統科技、船艦工程 |
| 電機系 | 控制系統 | 3 | 設備系統科技、船艦工程 |
| 海工碩 | 船舶施工規劃 | 3 | 設備系統科技 |
| 海工系 | 船艦工程實務專題講座 | 3 | 設備系統科技、國防科技、能源科技、船艦工程 |
| 海下所 | 船艦輪電實務專題講座 | 3 | 設備系統科技、國防科技、能源科技、船艦工程 |
| 海下所 | 被動海洋聲學 | 3 | 設備系統科技、能源科技 |
| 電機系 | 通訊系統 | 3 | 設備系統科技 |
| 電機系 | 嵌入式系統概論 | 3 | 國防科技 |
| 電機系 | 嵌入式軟體設計 | 3 | 國防科技 |
| 電機系 | 最佳化簡介 | 3 | 設備系統科技 |
