## 【109 學年度第 1 學期版本】
109.11.2 109 學年度第 1 學期學分學程會議通過
109.12.28 第 166 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 海科系 | 海洋生物概論 | 2 | 一、核心課程 I (必修一門，2學分；其餘科目可至多採計 6 學分。) |
| 高醫通識教育 | 生物多樣性導論 | 2 | 一、核心課程 I (必修一門，2學分；其餘科目可至多採計 6 學分。) |
| 生科海資、高醫生物系 | 生態學 | 3 | 二、核心課程 II (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 海科碩海資系、海工系 | 海洋生態學 | 2 | 二、核心課程 II (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 跨院選海科系 | 基礎海洋生態學 | 3 | 二、核心課程 II (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 博雅教育中心 | 環境變遷與生態保育 | 2 | 二、核心課程 II (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 博雅教育中心 | 環境科學 | 2 | 二、核心課程 II (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 生科系海資碩 | 生物多樣性與保育 | 2 | 二、核心課程 II (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 跨院選修、海工系 | 基礎環境科學 | 2 | 二、核心課程 II (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 高醫生物系 | 保育生物學 | 2 | 二、核心課程 II (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 高醫通識教育中心 | 氣候變遷與環境保護 | 2 | 二、核心課程 II (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 海科系 | 海洋生物多樣性與生態 | 3 | 二、核心課程 II (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 海科系 | 環境科學概論 | 2 | 二、核心課程 II (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 博雅教育中心 | 服務學習（三）：臺灣獼猴生態宣導 | 1 | 三、核心課程 III (必修一門，1 學分) |
| 博雅教育中心 | 服務學習（三）：尋找小櫻 | 1 | 三、核心課程 III (必修一門，1 學分) |
| 海科院(碩) | 高級潛水調查技術 | 3 | 三、核心課程 III (必修一門，1 學分) |
| 海科院 | 潛水理論與實務 | 2 | 三、核心課程 III (必修一門，1 學分) |
| 海科系 | 校外實習 | 3 | 三、核心課程 III (必修一門，1 學分) |
| 高醫生物系 | 生態解說 | 2 | 四、核心課程 IV (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 海科系 | 科學英文 | 2 | 四、核心課程 IV (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 外文系 | 觀光英語 | 3 | 109-1 新增 |
| 海科系 | 進階科學英文 | 3 | 英語授課；109-1 新增 |
| 博雅教育中心、公事碩 | 環境心理學 | 3 | 五、核心課程 V (必修一門，2 學分；其餘科目可至多採計 6 學分。) |
| 海事碩 | 海岸開發與保育對策 | 3 | 五、核心課程 V (必修一門，2 學分；其餘科目可至多採計 6 學分。) |

> 總學分數：至少 15 學分

### 選修課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 公事碩 | 公園遊憩旅遊管理 | 2 | — |
| 公事碩 | 遊憩規劃 | 2 | — |
| 企管系 | 行銷個案 | 3 | — |
| 社會系 | 活動企劃統籌與實務 | 3 | — |
| 管理學院 | 營運研究與財務規劃 | 3 | — |
| 海科院社會系 | 海洋生物資源永續發展實作專題研究 | 3 | — |
| 海工系 | 海洋與海岸管理 | 3 | — |
| 高醫生物系 | 植物生態學 | 2 | — |
| 高醫生物系 | 鳥類學 | 2 | — |
| 海資系海科系、海科碩 | 魚類學 | 2 | — |
| 海科系 | 海洋脊椎動物學 | 2 | — |
| 海科系 | 海洋生物多樣與生態 | 1 | — |
| 博雅教育中心 | 臺灣海岸環境 | 2 | — |
| 博雅教育中心 | 環境倫理 | 2 | — |
| 社會系 | 海洋政策行銷 | 3 | — |
| 海工系 | 永續海岸 | 3 | — |
| 海科系 | 生物多樣性行動技能建立 | 2 | — |
| 公事碩 | 遊憩規劃 | 2 | — |
| 公事碩 | 環境規劃與決策 | 3 | — |
| 公事碩 | 永續發展與綠色管理 | 3 | — |
| 公事碩 | 社區營造與地區重建 | 2 | — |
| 跨院選修(文) | 跨文化生態美學 | 2 | — |
| 跨院選修(海) | 海洋科學前沿 | 2 | — |
| 跨院選修(海) | 海洋資源導論 | 2 | — |
| 跨院選修(海) | 基礎環境科學 | 2 | — |
| 博雅向度六 | 海洋科技與資源永續 | 2 | — |
| 博雅向度六 | 海洋永續：海洋文學與海洋科學的生態對話 | 2 | — |
| 博雅向度六 | 全球環境變遷 | 2 | — |
| 博雅向度三 | 海洋文化 | 3 | — |
| 海工系 | 生態工程與實務 | 3 | — |
| 海科院 | 環境教育實踐推廣 | 2 | — |
| 社會系 | 海洋與城市發展 | 3 | — |
| 海科系 | 海洋環境影響評估 | 3 | — |
| 海科系 | 海洋汙染與生物 | 2 | — |

> 核心課程〈專業模組課程〉學分數： 9 學分

**備註：**
1. ※【整合學程】課程規劃至少 15 學分。
2. ※【整合學程】學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。
3. ※修習學程適用之課程規劃表請依核准修習學年期版本為主。
