## 【113 學年度第 1 學期版本】
113.11.12 113 學年度第 1 學期學分學程會議通過
113.12.12 第 182 次教務會議通過

### 核心課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 外文系 | 歐洲文學：1350-1800 | 3 | 歐洲文學課程 2 選 1 |
| 外文系 | 歐洲文學：1800以後 | 3 | 歐洲文學課程 2 選 1 |
| 外文系 | 英國文學：1660以前 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 英國文學：1660-1800 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 英國文學：1800-1900 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 英國文學：1900以後 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 美國文學：1865以前 | 3 | 美國文學課程 2 選 1 |
| 外文系 | 美國文學：1865以後 | 3 | 美國文學課程 2 選 1 |

> 核心課程學分數：9 學分

### 選修課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 外文系/西灣學院 | 西洋文學概論 (一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 西洋文學概論 (二) | 3 | 跨院選修 |
| 西灣學院 | 歐美經典短篇小說 | 3 | — |
| 外文系 | 歐洲文藝復興之歷史與文化 | 3 | 跨院選修 |
| 外文系 | 啟蒙運動：思想與理想 | 3 | — |
| 外文系/西灣學院 | 莎劇電影與劇場 | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美戲劇(一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美戲劇(二) | 3 | 跨院選修 |
| 外文系/西灣學院 | 百老匯表演與戲劇藝術(一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 百老匯表演與戲劇藝術(二) | 3 | 跨院選修 |
| 外文系/西灣學院 | 莎士比亞戲劇選讀 | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美小說(一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美小說(二) | 3 | 跨院選修 |
| 外文系 | 小說專題：短篇小說 | 3 | — |
| 外文系 | 現代英美短篇故事 | 3 | — |
| 外文系 | 新英文文學選讀 | 3 | — |
| 外文系/西灣學院 | 英美詩歌(一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美詩歌(二) | 3 | 跨院選修 |
| 外文系 | 維多利亞時代女性詩人 | 3 | — |
| 外文系/西灣學院 | 精神分析批評 | 3 | 跨院選修 |
| 外文系 | 生命故事敘事 | 3 | — |
| 外文系 | 當代文學理論 | 3 | — |
| 外文系/西灣學院 | 西洋書法 | 3 | 跨院選修 |
| 外文系 | 歐洲電影 | 3 | — |
| 外文系/西灣學院 | 當代電影藝術 | 3 | 跨院選修 |
| 外文系/西灣學院 | 歌舞電影與戲劇 | 3 | 跨院選修 |
| 外文系 | 電影與文學賞析 | 3 | — |
| 外文系 | 英國浪漫主義與現代性：1789-1840 | 3 | 跨院選修 |
| 外文系 | 當代愛爾蘭小說 | 3 | — |
| 外文系 | 馬基維利的文學與政治觀 | 3 | — |
| 外文系 | 圖像敘事 | 3 | — |
| 外文系 | 小說與藝術 | 3 | — |
| 外文系 | 飲食文學 | 3 | — |
| 西灣學院 | 西洋文化典故 | 3 | — |
| 外文系/西灣學院 | 法文（一） | 3 | 跨院選修 |
| 外文系/西灣學院 | 法文（二） | 3 | 跨院選修 |
| 外文系 | 法文（三） | 3 | — |
| 外文系 | 法文（四） | 3 | — |
| 外文系 | 實用法文 | 3 | — |
| 外文系 | 法文溝通 | 3 | — |
| 外文系/西灣學院 | 德文（一） | 3 | 跨院選修 |
| 外文系/西灣學院 | 德文（二） | 3 | 跨院選修 |
| 外文系 | 德文（三） | 3 | — |
| 外文系 | 德文（四） | 3 | — |
| 外文系 | 實用德文 | 3 | — |
| 外文系 | 德文溝通 | 3 | — |
| 外文系/西灣學院 | 西班牙文（一） | 3 | 跨院選修 |
| 外文系/西灣學院 | 西班牙文（二） | 3 | 跨院選修 |
| 外文系 | 西班牙文（三） | 3 | — |
| 外文系 | 西班牙文（四） | 3 | — |
| 外文系 | 實用西班牙文 | 3 | — |
| 外文系 | 西班牙文溝通 | 3 | — |
| 外文系/西灣學院 | 俄文（一） | 3 | 跨院選修 |
| 外文系/西灣學院 | 俄文（二） | 3 | 跨院選修 |
| 外文系 | 俄文（三） | 3 | — |
| 外文系 | 俄文（四） | 3 | — |
| 外文系 | 實用俄文 | 3 | — |
| 外文系 | 俄文溝通 | 3 | — |

> 總學分數：至少 15 學分

**備註：**
1. 【學系(所)專業學程】僅提供本系以外同學修習第 2 專長。
2. 【學系(所)專業學程】本學程規定之結業學分總數至少 15 學分，其中專業模組課程學分須達 9 學分，一般選修課程須至少 6 學分。
3. 【學系(所)專業學程】應修習學分數規定如下： 
    (1) 跨院修讀之學士班學生：修習專業模組課程至少九學分，其它至多九學分得以通識跨院選修學分抵免。 
    (2) 同院跨系(所)修讀之學士班學生：修習專業模組課程至少九學分，其它學分得由學程負責人規劃，學生得依其自行選讀。 
    (3) 碩士班學生：含修習專業模組課程至少九學分，其它學分得由學程負責人規劃，學生得依其自行選讀。
4. ※修習學程適用之課程規劃表請依核准修習學年期版本為主。

━━━━━━━━━━━━━━━━━━━━━━

## 【111 學年度第 2 學期版本】
112.4.24 111 學年度第 2 學期學分學程會議通過
112.5.24 第 176 次教務會議通過

### 核心課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 外文系 | 歐洲文學：1350-1800 | 3 | 歐洲文學課程 2 選 1 |
| 外文系 | 歐洲文學：1800以後 | 3 | 歐洲文學課程 2 選 1 |
| 外文系 | 英國文學：1660以前 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 英國文學：1660-1800 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 英國文學：1800-1900 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 英國文學：1900以後 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 美國文學：1865以前 | 3 | 美國文學課程 2 選 1 |
| 外文系 | 美國文學：1865以後 | 3 | 美國文學課程 2 選 1 |

> 核心課程學分數：9 學分

### 選修課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 外文系/西灣學院 | 西洋文學概論 (一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 西洋文學概論 (二) | 3 | 跨院選修 |
| 西灣學院 | 歐美經典短篇小說 | 3 | — |
| 外文系 | 歐洲文藝復興之歷史與文化 | 3 | 跨院選修 |
| 外文系 | 啟蒙運動：思想與理想 | 3 | — |
| 外文系/西灣學院 | 莎劇電影與劇場 | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美戲劇(一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美戲劇(二) | 3 | 跨院選修 |
| 外文系/西灣學院 | 百老匯表演與戲劇藝術(一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 百老匯表演與戲劇藝術(二) | 3 | 跨院選修 |
| 外文系/西灣學院 | 莎士比亞戲劇選讀 | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美小說(一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美小說(二) | 3 | 跨院選修 |
| 外文系 | 小說專題：短篇小說 | 3 | — |
| 外文系 | 現代英美短篇故事 | 3 | — |
| 外文系 | 新英文文學選讀 | 3 | — |
| 外文系/西灣學院 | 英美詩歌(一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美詩歌(二) | 3 | 跨院選修 |
| 外文系 | 維多利亞時代女性詩人 | 3 | — |
| 外文系/西灣學院 | 精神分析批評 | 3 | 跨院選修 |
| 外文系 | 生命故事敘事 | 3 | — |
| 外文系 | 當代文學理論 | 3 | — |
| 外文系/西灣學院 | 西洋書法 | 3 | 跨院選修 |
| 外文系 | 歐洲電影 | 3 | — |
| 外文系/西灣學院 | 當代電影藝術 | 3 | 跨院選修 |
| 外文系/西灣學院 | 歌舞電影與戲劇 | 3 | 跨院選修 |
| 外文系 | 電影與文學賞析 | 3 | — |
| 外文系 | 英國浪漫主義與現代性：1789-1840 | 3 | 跨院選修 |
| 外文系 | 當代愛爾蘭小說 | 3 | — |
| 外文系 | 馬基維利的文學與政治觀 | 3 | — |
| 外文系 | 圖像敘事 | 3 | — |
| 外文系 | 小說與藝術 | 3 | — |
| 外文系 | 飲食文學 | 3 | — |
| 外文系 | 聖經 | 3 | — |
| 外文系 | 世界文學英文短篇小說 | 3 | — |

> 總學分數：至少 15 學分

**備註：**
1. 【學系(所)專業學程】僅提供本系以外同學修習第 2 專長。
2. 【學系(所)專業學程】本學程規定之結業學分總數至少 15 學分，其中專業模組課程學分須達 9 學分，一般選修課程須至少 6 學分。
3. 【學系(所)專業學程】應修習學分數規定如下： 
    (1) 跨院修讀之學士班學生：修習專業模組課程至少九學分，其它至多九學分得以通識跨院選修學分抵免。 
    (2) 同院跨系(所)修讀之學士班學生：修習專業模組課程至少九學分，其它學分得由學程負責人規劃，學生得依其自行選讀。 
    (3) 碩士班學生：含修習專業模組課程至少九學分，其它學分得由學程負責人規劃，學生得依其自行選讀。
4. ※修習學程適用之課程規劃表請依核准修習學年期版本為主。

━━━━━━━━━━━━━━━━━━━━━━

## 【111 學年度第 1 學期版本】
111.10.31 111 學年度第 1 學期學分學程會議通過
111.12.5 第 174 次教務會議通過

### 核心課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 外文系 | 歐洲文學：1350-1800 | 3 | 歐洲文學課程 2 選 1 |
| 外文系 | 歐洲文學：1800以後 | 3 | 歐洲文學課程 2 選 1 |
| 外文系 | 英國文學：1660以前 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 英國文學：1660-1800 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 英國文學：1800-1900 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 英國文學：1900以後 | 3 | 英國文學課程 4 選 1 |
| 外文系 | 美國文學：1865以前 | 3 | 美國文學課程 2 選 1 |
| 外文系 | 美國文學：1865以後 | 3 | 美國文學課程 2 選 1 |

> 核心課程學分數：9 學分

### 選修課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 外文系/西灣學院 | 西洋文學概論 (一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 西洋文學概論 (二) | 3 | 跨院選修 |
| 西灣學院 | 歐美經典短篇小說 | 3 | — |
| 外文系 | 歐洲文藝復興之歷史與文化 | 3 | 跨院選修 |
| 外文系 | 啟蒙運動：思想與理想 | 3 | — |
| 外文系/西灣學院 | 莎劇電影與劇場 | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美戲劇(一) | 3 | 跨院選修 |
| 外文系/西灣學院 | 英美戲劇(二) | 3 | 跨院選修 |
