## 【113 學年度第 2 學期版本】
114.4.15 113 學年度第 2 學期學分學程會議通過；114.5.15 第 184 次教務會議通過

### 核心課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 生科系、海資系 | 生物化學（一） | 3 | — |
| 生科系、海資系 | 分子生物學 | 3 | — |
| 生科系、海資系 | 生物技術概論、生物技術 | 3 | 二擇一 |

> 核心課程學分數：6 學分

### 選修課程

| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 生科系、海資系 | 微生物學 | 3 | — |
| 海資系 | 微生物學實驗 | 1 | — |
| 生科系、海資系 | 遺傳學 | 3 | — |
| 海資系 | 生物化學實驗 | 1 | — |
| 生科系 | 生物技術實驗 | 2 | — |
| 生科系 | 動物細胞組織培養學 | 3 | — |
| 生科系 | 動物生理學 | 3 | — |
| 生科系 | 動物生理學實驗 | 1 | — |
| 生科系 | 免疫學 | 3 | — |
| 生科系 | 植物生理學 | 3 | — |
| 生科系 | 植物繁殖學 | 3 | — |
| 生科系 | 基因組學 | 3 | — |
| 生科系 | 功能基因組學 | 3 | — |
| 生科系(碩) | 演化生物學 | 3 | — |
| 生科系(碩) | 生物技術原理 | 3 | — |
| 生科系(碩) | 生物質譜學導論 | 3 | — |
| 生科系(碩) | 生物掃描式電子顯微鏡 | 3 | — |
| 生科系、生藥所、醫科所 | 生物資訊學概論(大學部)、生物資訊學及其應用、生物資訊學 | 3 | 三擇一 |
| 海科系(碩) | 分子細胞生物學 | 3 | (英語授課) |
| 環工所 | 廢棄物自然處理系統 | 3 | — |
| 環工所 | 廢水生物處理方法 | 3 | — |
| 海資系 | 海洋化學光譜分析 | 3 | — |
| 海資系(碩) | 色層分析 | 2 | — |
| 海資系 | 生化儀器分析 | 3 | — |
| 海資系 | 水產生物化學 | 3 | — |
| 海資系 | 海洋微生物學 | 2 | — |
| 海資系 | 海洋微生物學實驗 | 1 | — |
| 生科系、海資系 | 細胞生物學 | 3 | — |
