## 【112 學年度第 1 學期版本】
112.11.7 112 學年度第 1 學期學分學程會議通過
112.12.12 第 178 次教務會議通過

### 核心課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 西灣學院 | 台灣社會與文化 | 3 | 向度一 |
| 西灣學院 | 台灣當代政治發展 | 2 | 大學部 |
| 文學院 | 台灣史 | 3 | 大學部 |
| 文學院 | 史學導論 | 3 | 大學部 |
| 西灣學院 | 地方文化採集與應用 | 3 | 向度三 |
| 社會系 | 社會調查與研究方法（一） | 3 | 大學部 |
| 社會系 | 民族生態學 | 3 | 大學部 |
| 西灣學院 | 博物館文化與創意 | 2 | 向度一 |
| 西灣學院 | 台灣海岸環境 | 2 | 向度六 |
| 西灣學院 | 環境變遷與生態保育 | 2 | 向度六 |
| 西灣學院 | 國際現勢與公民視野 | 2 | 向度三、英語授課 |
| 西灣學院 | 國際事務與公民參與 | 3 | 向度三、英語授課 |
| 西灣學院 | 海洋文化 | 3 | 向度三 |
| 社會系 | 南島社會與文化 | 3 | 大學部 |

> 核心課程學分數：6 學分

### 選修課程
| 開課單位 | 課程名稱 | 學分數 | 備註 |
| :--- | :--- | :--- | :--- |
| 中文系 | 臺灣古典文學概論 | 3 | 大學部 |
| 中文系 | 臺灣謠諺 | 3 | 大學部 |
| 中文系 | 臺灣文化民俗誌 | 3 | 大學部 |
| 中文系 | 閩南語讀書音 | 2 | 大學部 |
| 中文系 | 客家話概論 | 3 | 大學部 |
| 社會系 | 客家文化與地方知識 | 3 | 大學部 |
| 中文系 | 臺灣閩南語文的音字書寫與閱讀 | 3 | 大學部 |
| 中文系 | 臺語流行歌曲及其語言風格和文化意涵（一） | 3 | 大學部 |
| 中文系 | 臺語流行歌曲及其語言風格和文化意涵（二） | 3 | 大學部 |
| 中文系 | 歲時節慶 | 3 | 大學部 |
| 中文系 | 閩南語音韻系統與拼音 | 3 | 大學部 |
| 音樂系 | 台灣音樂 | 2 | 大學部 |
| 劇藝系 | 臺灣劇場 | 2 | 大學部 |
| 西灣學院 | 紀錄片企劃與製作 | 3 | 向度一 |
| 西灣學院 | 創意繪畫之美學實踐 | 2 | 向度一 |
| 西灣學院 | 視覺文化與哲學反思 | 3 | 向度二 |
| 西灣學院 | 故事創意與數位繪本 | 2 | 向度四 |
| 西灣學院 | 生命教育 | 2 | 向度二 |
| 西灣學院 | 文化差異與倫理規範 | 3 | 向度二 |
| 西灣學院 | 台灣文化史 | 3 | 向度一 |
| 西灣學院 | 飲食與文學 | 3 | 向度一 |
| 西灣學院 | 文化設計與展演 | 3 | 大學部 |
| 西灣學院 | 民主與法治 | 2 | 向度三 |
| 西灣學院 | 性別與社會 | 3 | 向度三 |
| 社會系 | 社會運動 | 3 | 限大二以上修習 |
| 西灣學院 | 來/去台灣：性別與遷移 | 3 | 大學部 |
| 西灣學院 | 行動科技與社會 | 3 | 向度四 |
| 社會系 | 參與式民主導論 | 3 | 大學部 |
| 西灣學院 | 經濟與生活 | 2 | 向度三 |
| 西灣學院 | 社會文化分析 | 3 | 向度三、英語授課 |
| 西灣學院 | 青少年、流行文化與社會 | 3 | 大學部 |
| 西灣學院 | 科學、媒體與文化 | 3 | 向度四 |
| 社會系 | 博物館社會學 | 3 | 大學部 |
| 社會系 | 農業與社會 | 3 | 大學部 |
| 西灣學院 | 紀錄片與台灣社會 | 3 | 向度一 |
| 西灣學院 | 用影像說故事：探索科技、環境與社會 | 2 | 向度四 |
| 西灣學院 | 服務學習（三）：海洋資源實務應用 | 1 | 服務學習限大二以上修習 |
| 社會系 | 保育、地景與社區 | 3 | 大學部 |
| 海資系 | 海洋生物多樣性導論 | 2 | 大學部 |
| 西灣學院 | 海權與海洋事務 | 2 | 向度四 |
| 西灣學院 | 海洋生態與海洋科技教育探索 | 2 | 向度六 |
| 西灣學院 | 污染防治與環境管理 | 2 | 向度六 |
| 西灣學院 | 氣候變遷與調適 | 3 | 向度六 |
| 西灣學院 | 環境科學 | 2 | 向度六 |
| 西灣學院 | 地球科學 | 2 | 向度六 |
| 西灣學院 | 環境倫理與環境政策 | 2 | 向度六 |
| 西灣學院 | 服務學習（三）：台灣獼猴生態宣導 | 1 | 服務學習 |
| 西灣學院 | 本地植物學 | 2 | 向度五 |
| 西灣學院 | 台日文化比較研究 | 3 | 大學部 |
| 西灣學院 | 現代日本社會與宗教 | 3 | 向度三 |
| 政經系 | 東南亞政府與政治概論 | 3 | 大學部 |
| 西灣學院 | 印度宗教與身心健康之道 | 3 | 向度二 |
| 西灣學院 | 在地空間美學之探討 | 2 | 向度一 |
| 西灣學院 | 探詢建築工藝中的高雄故事 | 3 | 向度四、英語授課 |
| 外文系 | 觀光英語 | 3 | 大學部、英語授課 |
| 西灣學院 | 台灣政經發展 | 3 | 向度三、英語授課 |
| 政經系 | 中國政治經濟發展 | 3 | 大學部 |
| 西灣學院 | 人權與現代社會：台灣與中國的路徑 | 3 | 向度三、英語授課 |
| 西灣學院 | 服務學習（三）：史蹟導覽 | 1 | 服務學習限大二以上修習 |
| 西灣學院 | 服務學習（三）：文化設計與社區實作 | 1 | 服務學習限大二以上修習 |
| 西灣學院 | 後疫情時代的國際政治 | 3 | 大學部、英語授課 |
| 政經系 | 全球化、自由貿易及跨國移民導論 | 3 | 大學部、英語授課 |

> 總學分數：至少 15 學分

**備註：**
1. 【整合學程】課程規劃至少 15 學分。
2. 【整合學程】學生所修習之學程課程中，至少應有 6 學分不屬於學生本系所、雙主修及輔系之課程。
